"GEO","TIME","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"Germany (until 1990 former territory of the FRG)","2013M09","Gigawatt-hour","Electrical energy","Used for pumped storage","636",""
"France","2013M09","Gigawatt-hour","Electrical energy","Used for pumped storage","504",""
"Austria","2013M09","Gigawatt-hour","Electrical energy","Used for pumped storage","433",""
"Slovenia","2013M09","Gigawatt-hour","Electrical energy","Used for pumped storage","23",""
"European Union (28 countries)","2013M10","Gigawatt-hour","Electrical energy","Used for pumped storage","3 482",""
"European Union (27 countries)","2013M10","Gigawatt-hour","Electrical energy","Used for pumped storage","3 473",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M10","Gigawatt-hour","Electrical energy","Used for pumped storage","2 770",""
"Germany (until 1990 former territory of the FRG)","2013M10","Gigawatt-hour","Electrical energy","Used for pumped storage","665",""
"France","2013M10","Gigawatt-hour","Electrical energy","Used for pumped storage","587",""
"Austria","2013M10","Gigawatt-hour","Electrical energy","Used for pumped storage","482",""
"Slovenia","2013M10","Gigawatt-hour","Electrical energy","Used for pumped storage","35",""
"European Union (28 countries)","2013M11","Gigawatt-hour","Electrical energy","Used for pumped storage","3 385",""
"European Union (27 countries)","2013M11","Gigawatt-hour","Electrical energy","Used for pumped storage","3 381",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M11","Gigawatt-hour","Electrical energy","Used for pumped storage","2 653",""
"Germany (until 1990 former territory of the FRG)","2013M11","Gigawatt-hour","Electrical energy","Used for pumped storage","603",""
"France","2013M11","Gigawatt-hour","Electrical energy","Used for pumped storage","694",""
"Austria","2013M11","Gigawatt-hour","Electrical energy","Used for pumped storage","428",""
"Slovenia","2013M11","Gigawatt-hour","Electrical energy","Used for pumped storage","32",""
"European Union (28 countries)","2013M12","Gigawatt-hour","Electrical energy","Used for pumped storage","4 004",""
"European Union (27 countries)","2013M12","Gigawatt-hour","Electrical energy","Used for pumped storage","3 991",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M12","Gigawatt-hour","Electrical energy","Used for pumped storage","3 186",""
"Germany (until 1990 former territory of the FRG)","2013M12","Gigawatt-hour","Electrical energy","Used for pumped storage","678",""
"France","2013M12","Gigawatt-hour","Electrical energy","Used for pumped storage","633",""
"Austria","2013M12","Gigawatt-hour","Electrical energy","Used for pumped storage","561",""
"Slovenia","2013M12","Gigawatt-hour","Electrical energy","Used for pumped storage","26",""
"European Union (28 countries)","2014M01","Gigawatt-hour","Electrical energy","Used for pumped storage","4 582",""
"European Union (27 countries)","2014M01","Gigawatt-hour","Electrical energy","Used for pumped storage","4 574",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M01","Gigawatt-hour","Electrical energy","Used for pumped storage","3 735",""
"Germany (until 1990 former territory of the FRG)","2014M01","Gigawatt-hour","Electrical energy","Used for pumped storage","740",""
"France","2014M01","Gigawatt-hour","Electrical energy","Used for pumped storage","886",""
"Austria","2014M01","Gigawatt-hour","Electrical energy","Used for pumped storage","524",""
"Slovenia","2014M01","Gigawatt-hour","Electrical energy","Used for pumped storage","35",""
